"League","variable","mean","sd","min","25%","50%","75%","max"
"CBLOL","goldEarned.mean",11161.5251583354,1820.11489308716,7369.56666666667,10787.03125,11630.5,12288.9285714286,13978.2352941176
"CBLOL","kills.mean",6.33016046496168,2.24060916324619,2.26666666666667,5.53246753246753,6.65079365079365,7.76470588235294,9.38983050847458
"CBLOL","deaths.mean",4.95760882762655,1.09191594597591,3.07792207792208,4.38461538461539,5,5.77380952380952,7.05882352941176
"CBLOL","assists.mean",8.17734134561407,3.59028750405059,4.41176470588235,5.88888888888889,6.64285714285714,8.59016393442623,16.7424242424242
"CBLOL","champExperience.mean",12120.4748624886,1800.59111475941,8687.23333333333,11218.5423728814,12667.75,13599.724137931,14991.4117647059
"CBLOL","player.WR.mean",0.543019530760013,0.0908077654999339,0.344827586206897,0.5,0.533333333333333,0.619047619047619,0.705882352941177
"CBLOL","turretKills.mean",1.16047563696604,0.676227494616868,0.1,0.714285714285714,1.12698412698413,1.53424657534247,2.52941176470588
"CBLOL","totalMinionsKilled.mean",128.785904560262,80.0185081837602,18.1666666666667,32.7023809523809,183.111111111111,188.762711864407,202.597402597403
"CBLOL","totalTimeCCDealt.mean",227.095218461525,100.365823641893,94.6271186440678,150.944444444444,200.590909090909,292.884615384615,468.047619047619
"CBLOL","baronKills.mean",0.113383679545216,0.160787813063838,0,0.0172413793103448,0.0317460317460317,0.0847457627118644,0.476190476190476
"CBLOL","dragonKills.mean",0.304254898653902,0.499226982526363,0,0.0333333333333333,0.0689655172413793,0.220338983050847,1.51190476190476
"CBLOL","totalDamageDealt.mean",129969.519390965,58053.770582737,20378.8095238095,120212.171875,141506.410958904,159958.711864407,203630.984375
"CBLOL","totalDamageTaken.mean",20597.6781601312,4986.10851965458,13650.1170212766,16706.4880952381,19372.2191780822,26450.1764705882,28535.375
"CBLOL","totalDamageDealtToChampions.mean",18970.3952581338,5607.19223834694,7317.4,18825.9404761905,20002.8681318681,22203.7777777778,28132.7058823529
"CBLOL","damageDealtToObjectives.mean",11369.2448379337,9124.69702838204,1252,5142.10344827586,8534.11111111111,14772.9726027397,28972.4523809524
"CBLOL","goldEarnedPerMinute.mean",434.429752800938,66.4017271203491,303.991602010031,431.02462491472,456.288659270746,473.638987017626,514.937531072206
"FA/R","goldEarned.mean",10503.0471919889,1927.72080320503,6319.92307692308,9778.71717171717,10744.4337349398,11408.9522667829,21488.5
"FA/R","kills.mean",5.56376715679508,2.23895677789766,1,4.28958333333333,5.77777777777778,6.72794117647059,15
"FA/R","deaths.mean",4.70719005783374,1.05876595074421,2.55555555555556,4,4.58823529411765,5.25229040622299,10
"FA/R","assists.mean",7.6324508236176,2.91961751153234,3.16666666666667,5.69750830564784,6.85074626865672,8.26785714285714,16.6086956521739
"FA/R","champExperience.mean",11561.8724573325,1983.95245838181,7347.45238095238,10434.2006644518,11699.825,12781.6655016059,21603.5
"FA/R","player.WR.mean",0.533239304138475,0.0854382198719782,0.301587301587302,0.488945578231292,0.527777777777778,0.580399061032864,0.863636363636364
"FA/R","turretKills.mean",1.05139885480926,0.657820045405533,0,0.621428571428571,0.989247311827957,1.43592171717172,5
"FA/R","totalMinionsKilled.mean",117.599365565874,77.3466357828605,14.6551724137931,27.7065331928346,164.106666666667,184.557929724596,248
"FA/R","totalTimeCCDealt.mean",242.138600839714,132.737469407132,84.5714285714286,150.203619022733,212.75,299.304062126643,893.506493506493
"FA/R","baronKills.mean",0.103579796322369,0.141322325967656,0,0,0.0357142857142857,0.134848484848485,0.533333333333333
"FA/R","dragonKills.mean",0.348220402033778,0.526838184812009,0,0.021286231884058,0.0625,0.386363636363636,2
"FA/R","totalDamageDealt.mean",125537.869275927,53686.5662926585,17179.9090909091,112619.608974359,133756.819277108,157905.48266745,273354
"FA/R","totalDamageTaken.mean",20449.1344779124,5645.53602547631,10669.9032258065,16245.219588551,19495.3953488372,24087.0685483871,50133.3333333333
"FA/R","totalDamageDealtToChampions.mean",17200.6061109003,6187.03607592176,5322.46153846154,14531.4808349146,17334.825,20248.4824913892,53851
"FA/R","damageDealtToObjectives.mean",11122.4713867463,8453.58484541883,811.571428571429,4858.37692307692,7745.46428571429,18378.6284271284,34508.6666666667
"FA/R","goldEarnedPerMinute.mean",419.012901304778,62.7819822492928,278.065927066286,402.456343267272,433.165225505359,455.762152926854,615.53717240843
"LCK","goldEarned.mean",9987.98751986352,1749.76608383645,5923,9892.28460526316,10423.4758698092,11069.4516868654,12627.7613636364
"LCK","kills.mean",4.88695286340956,1.93050208337281,0.666666666666667,4.34958791208791,5.21116225546605,6.2185393258427,8.0125
"LCK","deaths.mean",4.43156860221904,0.866364475284704,2.7093023255814,3.75091575091575,4.44069298952458,4.92127808988764,6.54430379746835
"LCK","assists.mean",7.31811614438835,2.88837039715769,3.51648351648352,5.33441558441558,6.0847619047619,8.33195970695971,13.5056179775281
"LCK","champExperience.mean",10890.6572165636,1819.17539155405,6968.66666666667,10082.5224358974,11012.0903880071,12247.2117647059,13418.38
"LCK","player.WR.mean",0.544513172906547,0.0654747277866901,0.333333333333333,0.506582458637253,0.541814820082492,0.587015503875969,0.704545454545455
"LCK","turretKills.mean",1.03076802536775,0.586995286214563,0,0.558862433862434,1.18461538461538,1.47619047619048,2.01136363636364
