"League","variable","mean","sd","min","25%","50%","75%","max"
"CBLOL","goldEarned.mean",11124.4001933727,1628.00716733825,7845.79761904762,10787.03125,11457.967032967,12235.869047619,12871.6779661017
"CBLOL","kills.mean",6.3107258291481,2.1999847420568,2.34848484848485,5.53246753246753,6.64383561643836,7.53424657534247,9.38983050847458
"CBLOL","deaths.mean",4.77288211992823,0.913976084564133,3.07792207792208,4.38461538461539,4.78571428571429,5.27868852459016,6.27118644067797
"CBLOL","assists.mean",8.34069945479413,3.68827091786981,5.33333333333333,5.96610169491525,6.64285714285714,8.59016393442623,16.7424242424242
"CBLOL","champExperience.mean",11934.6455558894,1521.89508700122,9237.72619047619,11218.5423728814,12386.3278688525,13037.1875,13906.2597402597
"CBLOL","player.WR.mean",0.546863123068494,0.084390633004092,0.344827586206897,0.515625,0.547619047619048,0.619047619047619,0.659574468085106
"CBLOL","turretKills.mean",1.12802788514579,0.617168851307822,0.242424242424242,0.714285714285714,1.125,1.53424657534247,2.28813559322034
"CBLOL","totalMinionsKilled.mean",123.675129316464,81.5436687655586,18.1666666666667,32.7023809523809,182.095890410959,188.762711864407,202.597402597403
"CBLOL","totalTimeCCDealt.mean",232.326755387556,107.582461716622,94.6271186440678,148.72619047619,200.590909090909,299.923076923077,468.047619047619
"CBLOL","baronKills.mean",0.131314077748916,0.173108555409261,0.0106382978723404,0.0238095238095238,0.0317460317460317,0.0847457627118644,0.476190476190476
"CBLOL","dragonKills.mean",0.359798682810601,0.542242523551848,0,0.015625,0.0689655172413793,0.232876712328767,1.51190476190476
"CBLOL","totalDamageDealt.mean",130466.126315063,56457.6401817842,20378.8095238095,120212.171875,141506.410958904,159958.711864407,203630.984375
"CBLOL","totalDamageTaken.mean",20252.5793827972,5157.5758990147,13650.1170212766,16706.4880952381,17851.8412698413,26535.9642857143,28535.375
"CBLOL","totalDamageDealtToChampions.mean",18521.859356963,4662.54599396563,8785.93939393939,18825.9404761905,19952.2459016393,20615.5862068966,25052.593220339
"CBLOL","damageDealtToObjectives.mean",12058.6892921554,9730.67132207622,1252,5142.10344827586,10095.4246575342,14772.9726027397,28972.4523809524
"CBLOL","goldEarnedPerMinute.mean",436.040777142989,63.3274092699705,305.649788527185,431.02462491472,462.281736172576,473.638987017626,514.82478447373
"CBLOL","visionScore.mean",31.0550133647972,16.0616187140323,15.78125,22.6875,25.8888888888889,28.9047619047619,65.3333333333333
"FA/R","goldEarned.mean",10297.155094576,1504.56006995814,6592.27472527472,9857.75888888889,10632.5185185185,11187.9756410256,12678.6034482759
"FA/R","kills.mean",5.24564204674698,1.75525893463172,1.47959183673469,4.20698924731183,5.58730158730159,6.43620812544547,8.35555555555556
"FA/R","deaths.mean",4.56420284636441,0.859053456917604,2.95348837209302,3.90924686910276,4.4320987654321,5.01136363636364,7.8875
"FA/R","assists.mean",7.51008101709088,2.72138336353983,3.74603174603175,5.81817292644757,6.85074626865672,7.89076533839342,15.5641025641026
"FA/R","champExperience.mean",11436.6621395365,1643.00432062541,7486.8021978022,10558.3452380952,11699.8701298701,12631.3680555556,14687.7125
"FA/R","player.WR.mean",0.529820529850037,0.0620170701986724,0.301587301587302,0.493488922712667,0.527777777777778,0.566265060240964,0.709090909090909
"FA/R","turretKills.mean",1.01221700359481,0.529110325726353,0.108695652173913,0.702068965517241,0.989247311827957,1.32640016233766,3.28571428571429
"FA/R","totalMinionsKilled.mean",114.280119582383,78.0051402062326,14.6551724137931,26.5432624113475,164.106666666667,184.289185810283,215.35632183908
"FA/R","totalTimeCCDealt.mean",250.677962790358,139.257359415105,90.6627906976744,150.693518518519,227.65625,313.20334987593,893.506493506493
"FA/R","baronKills.mean",0.120700889768158,0.147119089827337,0,0.0187028140013727,0.0410958904109589,0.255826558265583,0.525773195876289
"FA/R","dragonKills.mean",0.393827105671103,0.550564853093491,0,0.0317469204927212,0.0752688172043011,0.990793650793651,1.65573770491803
"FA/R","totalDamageDealt.mean",124277.126801785,49551.379395946,17179.9090909091,116634.408699634,133367.352112676,155230.343289826,214860.911111111
"FA/R","totalDamageTaken.mean",20074.4064162832,4550.86233831967,12554.7727272727,16332.4011904762,19690.5714285714,23499.9486268939,34081.3888888889
"FA/R","totalDamageDealtToChampions.mean",16123.3176169223,4428.24604292345,5433.34782608696,14003.951592003,16985.59375,18918.0392993818,24909.2586206897
"FA/R","damageDealtToObjectives.mean",11483.6831020452,8449.92457304849,1130.69318181818,5860.84217171717,8119.52325581395,20423.0564516129,28829.1475409836
"FA/R","goldEarnedPerMinute.mean",415.838801497391,57.7177969484305,278.065927066286,408.005651929344,429.715003975377,448.110169984401,519.772076186442
"FA/R","visionScore.mean",29.0304880391772,14.3029132127933,12.6190476190476,20.2582565284178,23.5679012345679,30.6934136546185,76.1473684210526
"LCK","goldEarned.mean",10051.279268732,1653.7646328985,6437.1746031746,10038.52,10412.2727272727,11042.5813953488,12627.7613636364
"LCK","kills.mean",4.92443590583716,1.8510365452025,1.18181818181818,4.36263736263736,5.18181818181818,6.2,8.0125
"LCK","deaths.mean",4.37684042265928,0.84985350204206,2.7093023255814,3.73563218390805,4.38,4.91011235955056,6.54430379746835
"LCK","assists.mean",7.16526113482642,2.89132237885416,3.51648351648352,5.18888888888889,5.98888888888889,7.81318681318681,13.5056179775281
"LCK","champExperience.mean",10932.9104019272,1706.99783279624,7673.34920634921,10157.7051282051,11060.3950617284,12226.8470588235,13322.5657894737
"LCK","player.WR.mean",0.548307034087488,0.0545740570346024,0.43956043956044,0.508771929824561,0.544303797468354,0.581395348837209,0.704545454545455
"LCK","turretKills.mean",1.05909712416621,0.574867739973611,0.0476190476190476,0.653333333333333,1.2,1.47619047619048,2.01136363636364
"LCK","totalMinionsKilled.mean",127.11223630375,79.6220531238688,16.7794117647059,26.69,181.66,187.348837209302,212.590909090909
"LCK","totalTimeCCDealt.mean",233.040814054265,142.419008386026,72.3953488372093,138.318181818182,194.67,290.590909090909,982.413043478261
"LCK","baronKills.mean",0.0768706853263405,0.110994882314893,0,0.0111111111111111,0.0232558139534884,0.0714285714285714,0.386666666666667
"LCK","dragonKills.mean",0.302300255557153,0.548532228677941,0,0.0158730158730159,0.0470588235294118,0.1125,1.97530864197531
"LCK","totalDamageDealt.mean",118359.494515611,50299.6970713589,18688.29,120200.4,132160.747126437,146281.235955056,211587.793103448
"LCK","totalDamageTaken.mean",18618.6085851814,4153.99971305372,12549.2134831461,15213.301369863,17341.5747126437,22378.1518987342,25643.7954545455
"LCK","totalDamageDealtToChampions.mean",15783.9425739583,4935.98260054399,5913.25,13965.5568181818,17678.4404761905,19515.5952380952,21863.75
"LCK","damageDealtToObjectives.mean",10068.248495766,8171.67393792575,1067.60674157303,5620.44565217391,7389.2972972973,11268.6904761905,29941.1764705882
"LCK","goldEarnedPerMinute.mean",422.913860169335,66.8053295261432,286.281869752906,424.700180601962,439.140393768079,457.196594936181,518.187052546668
"LCK","visionScore.mean",30.8519938751872,16.1092997634062,8.525,20.2117647058824,25.6896551724138,33.9772727272727,81.0786516853933
"LCK CL","goldEarned.mean",9838.8405022262,1950.74971570821,6674.68656716418,8849.68256929638,10551.4342105263,11120.4679993137,12558.4047619048
"LCK CL","kills.mean",4.56389083010423,2.03742771446582,1.40298507462687,3.08502747252747,4.97375083277815,6.11000295508274,7.40476190476191
"LCK CL","deaths.mean",4.54220107728979,0.816181406546065,3.45263157894737,4.02355889724311,4.50263157894737,4.88037223520949,7.13829787234043
"LCK CL","assists.mean",7.75007347411732,3.17285089743198,4.41935483870968,5.2444568868981,6.66394148020654,10.0796981499513,14.4029850746269
"LCK CL","champExperience.mean",10951.5543308151,2099.28158103403,7392.21538461538,9431.26603302611,11345.3551587302,12720.2382478632,14153.625
"LCK CL","player.WR.mean",0.538588077836838,0.0638800381589084,0.416666666666667,0.505769230769231,0.530934343434343,0.591122732688998,0.663157894736842
"LCK CL","turretKills.mean",1.02975335852316,0.666816750060282,0.0746268656716418,0.402443609022556,1.08295249965379,1.58047658862876,2.02272727272727
"LCK CL","totalMinionsKilled.mean",121.330220099341,83.0459303520496,18.0238095238095,28.0215239591516,176.26379712398,192.802631578947,203.595238095238
"LCK CL","totalTimeCCDealt.mean",232.579865551245,128.485159771807,99.9130434782609,137.038117106774,196.243984962406,288.232007575758,574.97619047619
"LCK CL","baronKills.mean",0.0813177445946985,0.137240638338069,0,0,0.0166208791208791,0.0660140562248996,0.416666666666667
"LCK CL","dragonKills.mean",0.250069190962138,0.476670700734596,0,0.011210899315738,0.0292207792207792,0.132308845577211,1.39240506329114
"LCK CL","totalDamageDealt.mean",110194.36141296,56361.1774223037,15787.1612903226,86672.9458730444,131388.276315789,146664.835838608,191536.064516129
"LCK CL","totalDamageTaken.mean",18570.4336216356,4454.38122882689,11422.1397849462,14900.1891304348,17850.8356203007,22754.2613636364,25254.0632911392
"LCK CL","totalDamageDealtToChampions.mean",14941.2638555361,5820.49734586546,5504.56842105263,11701.6073587757,16750.648802105,19391.4744318182,22487.5238095238
"LCK CL","damageDealtToObjectives.mean",9234.84781251544,7712.9625136194,915.692307692308,4288.06648700063,7481.75604395604,11403.4853653745,27483.9032258065
"LCK CL","goldEarnedPerMinute.mean",410.774628224208,73.428710492765,290.765930749607,373.982074923234,438.880388515746,451.443391592176,513.134962545348
"LCK CL","visionScore.mean",33.3747790576359,16.6640619076796,17.5851063829787,22.821654040404,25.6787593984962,36.6356095936043,74.7910447761194
"LCK LAS","goldEarned.mean",10221.642823282,1676.51025086111,6570.06666666667,9950.5259994774,10602.5735603933,11293.5130385488,12326.4155844156
"LCK LAS","kills.mean",5.61200743064047,2.05446720358668,1.21794871794872,5.10422826729746,6.21246515332537,6.786866359447,8.48051948051948
"LCK LAS","deaths.mean",4.44129877121446,0.702606104126755,3.53932584269663,3.86803797468354,4.29094773693423,4.92720724292889,6.1038961038961
"LCK LAS","assists.mean",7.28128071580456,2.41708316782679,3.93617021276596,5.77706926731683,6.502405002405,8.48304422566026,12.1290322580645
"LCK LAS","champExperience.mean",10686.8571404632,1576.60388918004,7215.41111111111,10171.1710697071,10880.9717167722,11626.271627907,12885.7901234568
"LCK LAS","player.WR.mean",0.550636890484106,0.0471358319506668,0.482758620689655,0.516044142614601,0.553639846743295,0.574872802960222,0.659090909090909
"LCK LAS","turretKills.mean",1.08752263199207,0.611002341574045,0.0721649484536082,0.639527458492976,1.09990820073439,1.51863597921952,1.93506493506494
"LCK LAS","totalMinionsKilled.mean",111.757201667912,79.8836277537429,20.9310344827586,28.0016129032258,169.676117062974,183.898964767788,203.174603174603
"LCK LAS","totalTimeCCDealt.mean",181.437845466906,91.1576445489468,68.4285714285714,110.943548387097,149.679775280899,275.336962025316,353.820224719101
"LCK LAS","baronKills.mean",0.109868540969374,0.123919053173917,0,0.0281138228487271,0.0451991828396323,0.213441890166028,0.395833333333333
"LCK LAS","dragonKills.mean",0.41756045726891,0.569579952117094,0.0106382978723404,0.0314102564102564,0.083088954056696,0.992105263157895,1.53333333333333
"LCK LAS","totalDamageDealt.mean",122041.01012515,48591.9266158976,19084.3222222222,121238.68258427,135171.91954023,154307.568626111,164239.02173913
"LCK LAS","totalDamageTaken.mean",18825.3141467437,4360.04652706934,13010.3111111111,15311.4623655914,17225.5312117503,23039.1476449275,25606.3466666667
"LCK LAS","totalDamageDealtToChampions.mean",15929.2369973375,5104.59451864018,5404.46153846154,13819.3129535865,17800.7479951885,19323.6455026455,24576.4285714286
"LCK LAS","damageDealtToObjectives.mean",12296.1418911812,8044.75974512716,1436.03333333333,6772.32395771733,10478.3694403715,20690.0769509982,27011.2083333333
"LCK LAS","goldEarnedPerMinute.mean",428.447163238464,68.0507797122397,275.065573426899,413.652662547521,445.441139575459,469.366802758843,501.653485706543
"LCK LAS","visionScore.mean",30.8936432036494,16.4995796933515,16.4415584415584,19.7709314969192,23.9273197929112,31.8933423913043,73.8924731182796
"LCS","goldEarned.mean",10501.7324021353,1859.26337961573,6910.2380952381,10343.1620764239,11125.7293650794,11655.1752889378,12888.313253012
"LCS","kills.mean",5.27826858810468,1.97548380377178,1.58695652173913,4.29311241065627,5.71203886693017,6.8232276119403,7.85714285714286
"LCS","deaths.mean",4.69206352773184,0.729283915696522,3.3375,4.17542613636364,4.67439209726444,5.03289473684211,6.26595744680851
"LCS","assists.mean",7.78056776997503,2.99850454493857,4.66315789473684,5.90829986613119,6.29089443996777,9.41814420803783,14.1190476190476
"LCS","champExperience.mean",11539.7304464886,1980.47494956544,7851.9880952381,10743.5679984177,11930.7925531915,13055.4791666667,14030.6296296296
"LCS","player.WR.mean",0.531121622525322,0.0671312379989636,0.366666666666667,0.498655913978495,0.531780231618637,0.564663385201651,0.712328767123288
"LCS","turretKills.mean",1.12821058421421,0.636875256227502,0.131868131868132,0.572642108605907,1.26704174820613,1.62716049382716,2.2375
"LCS","totalMinionsKilled.mean",131.034029735148,80.3215592559113,20.0875,28.6686507936508,178.968157181572,195.076851851852,216.939759036145
"LCS","totalTimeCCDealt.mean",236.726019530896,123.451075268743,83.8064516129032,155.116739424959,202.789534470505,304.960307017544,621.302631578947
"LCS","baronKills.mean",0.0819526937168651,0.128374330049341,0,0.0110215053763441,0.0281913837601747,0.0783266129032258,0.493827160493827
